id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
2022-360375;21/04/2022;1;Vente;260000;26;None;RUE DELILLE;582;76800;76575;Saint-Étienne-du-Rouvray;76;None;None;76575000AB0065;None;None;None;None;None;None;None;None;None;None;None;None;0;1;Maison;129;4;S;sols;None;None;351;1.071855;49.401886;000AB
2022-360375;21/04/2022;1;Vente;260000;26;None;RUE DELILLE;582;76800;76575;Saint-Étienne-du-Rouvray;76;None;None;76575000AB0065;None;None;None;None;None;None;None;None;None;None;None;None;0;3;Dépendance;nan;0;S;sols;None;None;351;1.071855;49.401886;000AB
2021-1180016;10/05/2021;1;Vente;160000;13;None;RUE ALFRED DE MUSSET;40;76800;76575;Saint-Étienne-du-Rouvray;76;None;None;76575000AB0023;None;None;None;None;None;None;None;None;None;None;None;None;0;1;Maison;64;4;S;sols;None;None;452;1.070963;49.402764;000AB
2021-1177880;14/01/2021;1;Vente;174000;21;None;RUE PAUL VERLAINE;1920;76800;76575;Saint-Étienne-du-Rouvray;76;None;None;76575000AB0012;None;None;None;None;None;None;None;None;None;None;None;None;0;1;Maison;64;4;S;sols;None;None;498;1.070475;49.403622;000AB
2021-1177880;14/01/2021;1;Vente;174000;21;None;RUE PAUL VERLAINE;1920;76800;76575;Saint-Étienne-du-Rouvray;76;None;None;76575000AB0012;None;None;None;None;None;None;None;None;None;None;None;None;0;3;Dépendance;nan;0;S;sols;None;None;498;1.070475;49.403622;000AB
2020-1061542;10/03/2020;1;Vente;200000;2;None;RUE DU MADRILLET;1580;76800;76575;Saint-Étienne-du-Rouvray;76;None;None;76575000AB0090;None;None;None;None;None;None;None;None;None;None;None;None;0;2;Appartement;18;1;S;sols;None;None;105;1.074902;49.403036;000AB
2020-1061542;10/03/2020;1;Vente;200000;2;None;RUE DU MADRILLET;1580;76800;76575;Saint-Étienne-du-Rouvray;76;None;None;76575000AB0090;None;None;None;None;None;None;None;None;None;None;None;None;0;4;Local industriel. commercial ou assimilé;68;0;S;sols;None;None;105;1.074902;49.403036;000AB
2019-1116084;28/08/2019;1;Vente;180000;28;None;RUE DELILLE;582;76800;76575;Saint-Étienne-du-Rouvray;76;None;None;76575000AB0066;None;None;None;None;None;None;None;None;None;None;None;None;0;1;Maison;108;5;S;sols;None;None;348;1.071647;49.401956;000AB
2019-1114082;14/06/2019;1;Vente;188000;38;None;RUE DELILLE;582;76800;76575;Saint-Étienne-du-Rouvray;76;None;None;76575000AB0071;None;None;None;None;None;None;None;None;None;None;None;None;0;1;Maison;74;5;S;sols;None;None;377;1.070502;49.402256;000AB
2019-1112279;6/02/2019;1;Vente;20000;nan;None;ALL DU CHAMP DE COURSE;432;76800;76575;Saint-Étienne-du-Rouvray;76;None;None;76575000AB0232;None;None;None;None;None;None;None;None;None;None;None;None;0;None;None;nan;nan;S;sols;None;None;3182;1.070577;49.404334;000AB
